name,dataset,model,k,percent,n_check,T_stop,ari
n_check,optdigits,4,25,0.1,3,3,0.8140873320412654
n_check,optdigits,4,25,0.1,4,3,0.8139987562390417
n_check,optdigits,4,25,0.1,5,3,0.8142284921094393
n_check,optdigits,4,25,0.1,6,3,0.8136288060072913
n_check,optdigits,4,25,0.1,7,3,0.8159666625201896
T_stop,optdigits,4,25,0.1,3,3,0.8140873320412654
T_stop,optdigits,4,25,0.1,3,5,0.814500445714592
T_stop,optdigits,4,25,0.1,3,7,0.816744223975011
T_stop,optdigits,4,25,0.1,3,9,0.815724511412271
T_stop,optdigits,4,25,0.1,3,11,0.8155375201980812
T_stop,optdigits,4,25,0.1,3,13,0.8148789262776093
k,HAR,4,5,0.1,3,3,0.34960262417490345
k,HAR,4,15,0.1,3,3,0.37829513259858305
k,HAR,4,25,0.1,3,3,0.41126538078440894
k,HAR,4,35,0.1,3,3,0.4139939250462615
k,HAR,4,45,0.1,3,3,0.41315079024794876
percent,HAR,4,25,0.05,3,3,0.4068625451301101
percent,HAR,4,25,0.075,3,3,0.39594277826859364
percent,HAR,4,25,0.1,3,3,0.41126538078440894
percent,HAR,4,25,0.125,3,3,0.4096006318046751
percent,HAR,4,25,0.15,3,3,0.4137354977088415
percent,HAR,4,25,0.175,3,3,0.41236972523908577
percent,HAR,4,25,0.2,3,3,0.42760306303963946
percent,HAR,4,25,0.225,3,3,0.4183036792270666
percent,HAR,4,25,0.25,3,3,0.4138484117714394
n_check,HAR,4,25,0.1,2,3,0.4183832736961801
n_check,HAR,4,25,0.1,3,3,0.41126538078440894
n_check,HAR,4,25,0.1,4,3,0.4146062399546945
n_check,HAR,4,25,0.1,5,3,0.41744307401461705
n_check,HAR,4,25,0.1,6,3,0.4349926242435156
n_check,HAR,4,25,0.1,7,3,0.4440386408372909
